region,wartosc,typ_uczelni,rok
WARMIŃSKO-MAZURSKIE,1177.0,uczelnie niepubliczne,2023
WIELKOPOLSKIE,7813.0,uczelnie niepubliczne,2023
ZACHODNIOPOMORSKIE,1651.0,uczelnie niepubliczne,2023
DOLNOŚLĄSKIE,9590.0,uczelnie niepubliczne,2024
KUJAWSKO-POMORSKIE,5089.0,uczelnie niepubliczne,2024
LUBELSKIE,5867.0,uczelnie niepubliczne,2024
LUBUSKIE,156.0,uczelnie niepubliczne,2024
ŁÓDZKIE,4891.0,uczelnie niepubliczne,2024
MAŁOPOLSKIE,7349.0,uczelnie niepubliczne,2024
MAZOWIECKIE,27383.0,uczelnie niepubliczne,2024
OPOLSKIE,1438.0,uczelnie niepubliczne,2024
PODKARPACKIE,2809.0,uczelnie niepubliczne,2024
PODLASKIE,1180.0,uczelnie niepubliczne,2024
POMORSKIE,8781.0,uczelnie niepubliczne,2024
ŚLĄSKIE,11166.0,uczelnie niepubliczne,2024
ŚWIĘTOKRZYSKIE,1378.0,uczelnie niepubliczne,2024
WARMIŃSKO-MAZURSKIE,1338.0,uczelnie niepubliczne,2024
WIELKOPOLSKIE,8391.0,uczelnie niepubliczne,2024
ZACHODNIOPOMORSKIE,1541.0,uczelnie niepubliczne,2024
