region,rok,"gimnazjalne,_podstawowe_i_niższe_ogółem_wartość_liczbowa","gimnazjalne,_podstawowe_i_niższe_ogółem_wskaźnik_precyzji",policealne_oraz_średnie_zawodowe/branżowe_ogółem_wartość_liczbowa,policealne_oraz_średnie_zawodowe/branżowe_ogółem_wskaźnik_precyzji,wyższe_ogółem_wartość_liczbowa,wyższe_ogółem_wskaźnik_precyzji,zasadnicze_zawodowe/branżowe_ogółem_wartość_liczbowa,zasadnicze_zawodowe/branżowe_ogółem_wskaźnik_precyzji,średnie_(łącznie_z_zasadniczym_zawodowym/branżowym_i_policealnym)_ogółem_wartość_liczbowa,średnie_(łącznie_ze_średnim_zawodowym/branżowym_i_ogólnokształcącym)_ogółem_wartość_liczbowa,średnie_ogólnokształcące_ogółem_wartość_liczbowa,średnie_ogólnokształcące_ogółem_wskaźnik_precyzji,średnie_zawodowe/branżowe_ogółem_wartość_liczbowa,średnie_zawodowe/branżowe_ogółem_wskaźnik_precyzji
MAZOWIECKIE,2023,10.2,3.1,19.6,2.79,43.7,1.62,12.7,3.15,46,31.2,13.7,3.72,17.5,3.02
MAZOWIECKIE,2024,9.9,3.35,18.8,2.76,45.2,1.43,12.7,3.05,44.8,29.9,13.3,3.45,16.6,2.83
MAZOWIECKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAŁOPOLSKIE,2010,15.7,2.01,24.2,1.43,19.4,2.19,27.8,1.48,64.9,33.9,12.9,2.33,21,1.58
MAŁOPOLSKIE,2011,16.1,3.02,23.5,2.21,20.6,3.07,27.9,2.06,63.3,32.1,11.9,3.33,20.2,2.55
MAŁOPOLSKIE,2012,15.1,3.11,24,2,22.4,2.74,27.3,1.94,62.4,31.8,11.1,3.71,20.7,2.21
MAŁOPOLSKIE,2013,13.9,2.86,23.8,2.37,23.1,2.52,27.3,2.04,62.9,32.6,11.8,3.06,20.8,2.5
MAŁOPOLSKIE,2014,13.7,3.01,22.4,2.6,23.9,2.65,28.3,2.09,62.4,31,11.7,3.34,19.3,2.74
MAŁOPOLSKIE,2015,13.7,3.5,22.7,2.41,24.9,2.72,27.6,2.17,61.6,31,11.3,3.57,19.7,2.73
MAŁOPOLSKIE,2016,13.4,3.5,23.6,2.61,26.5,2.9,26.2,2.64,60.2,31.3,10.4,4.3,20.9,2.83
MAŁOPOLSKIE,2017,12.8,3.75,23.1,3,29.1,2.97,25.2,3.27,58.1,30.3,9.8,4.68,20.5,3.32
MAŁOPOLSKIE,2018,11.3,3.75,24,3.66,29,3.4,25.6,3.81,59.7,31.7,10.1,6.42,21.6,3.96
MAŁOPOLSKIE,2019,12,4.37,23.2,3.96,29.8,3.27,23.4,3.73,58.3,32.1,11.7,5.31,20.4,4.35
MAŁOPOLSKIE,2020,12,4.6,23.4,4,30,3.5,23.3,3.9,58.1,31.7,11.4,5.7,20.3,4.3
MAŁOPOLSKIE,2021,13.1,4.71,23.4,3.45,31.5,2.89,22.7,3.33,55.4,29.6,9.3,5.04,20.3,3.8
MAŁOPOLSKIE,2022,12.5,4.73,24.1,3.47,31.4,2.68,23.3,3.35,56.1,29.9,8.7,5.86,21.2,3.74
MAŁOPOLSKIE,2023,10.9,4.4,22.3,3.64,35.4,2.59,20.1,4.32,53.6,30.8,11.2,5.79,19.6,4.05
MAŁOPOLSKIE,2024,9.7,4.49,22,3.37,36.5,2.32,19.8,3.81,53.9,31.5,12.1,4.6,19.4,3.57
MAŁOPOLSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OPOLSKIE,2010,17.8,1.87,24.9,1.34,15.8,2.45,31.8,1.3,66.6,31.6,9.9,2.47,21.7,1.46
OPOLSKIE,2011,17.4,2.7,25,2.1,16.1,3.59,32.1,2.2,66.7,31.5,9.6,3.72,21.9,2.22
OPOLSKIE,2012,16.6,2.63,24.4,1.97,17.7,3.29,31.6,2.1,65.7,30.9,9.7,3.42,21.2,2.16
OPOLSKIE,2013,16.6,2.57,24.4,1.97,18.5,2.96,31.4,1.77,65,30.3,9.2,3.44,21.1,2.13
OPOLSKIE,2014,15.9,2.83,23.3,2.1,20.7,2.69,30.9,1.89,63.6,29.5,9.4,3.53,20.1,2.29
OPOLSKIE,2015,15.5,2.89,23.7,2.28,21.9,2.74,29.5,1.92,62.7,29.9,9.5,3.98,20.4,2.5
OPOLSKIE,2016,14.5,2.58,24,2.28,21.7,2.73,29.8,2.1,63.7,30.7,9.9,3.87,20.8,2.49
OPOLSKIE,2017,14,3.22,23.6,2.71,22.8,2.86,30.4,2.61,63.1,29.5,9.1,4.53,20.4,2.98
OPOLSKIE,2018,13,3.05,24.4,2.71,22.9,3.27,29.6,2.47,63.9,30.9,9.9,4.89,21,2.92
OPOLSKIE,2019,11.8,3.07,25.8,2.58,23.2,3.15,29.2,2.94,64.8,32.8,9.8,5.34,23,2.77
OPOLSKIE,2020,12.2,4,25,3.6,24.3,3.9,28.7,3.5,63.6,32,9.9,5.6,22.1,3.9
OPOLSKIE,2021,12.1,4.21,24.9,3.38,24.4,3.34,28.3,3.12,63.6,32.2,10.4,5.93,21.8,3.64
OPOLSKIE,2022,12.7,4.56,26.2,3.39,24.6,3.36,27,3.21,62.7,32.7,9.5,6.14,23.2,3.77
OPOLSKIE,2023,12.5,5.04,25.9,3.47,26.6,3.66,23.8,4.07,61.1,34.3,11.4,5.55,22.9,3.83
OPOLSKIE,2024,12.5,5.18,23.9,3.77,28.6,3.46,24.1,3.91,58.9,32.5,10.9,6.15,21.6,4.11
OPOLSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PODKARPACKIE,2010,18.8,1.84,25.2,1.43,17.8,2.18,28.2,1.63,63.3,31.9,9.9,2.65,22,1.51
PODKARPACKIE,2011,19.3,2.88,24.8,2.27,17.5,3.55,28.6,2.28,63.2,31.4,9.8,3.68,21.6,2.44
PODKARPACKIE,2012,18.7,2.56,24.7,2.14,18.7,3.1,28.2,2.01,62.6,31.3,9.7,3.26,21.6,2.41
PODKARPACKIE,2013,17,3,24.9,2.16,20,3.12,27.9,1.96,63,32.1,10.2,3.4,21.9,2.38
PODKARPACKIE,2014,17,3.17,25.3,2.37,20.6,3.26,27.8,2.1,62.4,31.5,9.3,3.88,22.2,2.63
PODKARPACKIE,2015,16.3,3.07,25.2,2.38,22,3.28,27.8,2.36,61.7,30.9,8.7,4.3,22.2,2.59
PODKARPACKIE,2016,14,2.58,26,2.21,23.7,2.6,27.1,2.24,62.3,32.2,9.2,4.3,23,2.46
PODKARPACKIE,2017,13.2,2.62,27.1,2.12,24.3,2.64,25.7,2.33,62.5,34,9.7,3.99,24.3,2.36
PODKARPACKIE,2018,13.3,2.71,26.8,2.18,24.5,2.57,25.1,2.49,62.2,34.1,10.3,4,23.8,2.35
PODKARPACKIE,2019,13.3,3.76,25.5,2.76,25.7,2.63,24.8,3.02,60.9,33.1,10.6,4.59,22.5,3.03
PODKARPACKIE,2020,13.4,4.1,24.6,3,26.2,2.9,24.9,3.2,60.3,32.8,10.8,5.4,22,3.3
PODKARPACKIE,2021,13.5,4.06,25.1,3.16,26.2,3.22,24.1,3.35,60.2,32.7,11,4.59,21.7,3.32
PODKARPACKIE,2022,12.6,4.63,27.2,3.08,26.2,3.03,22.7,3.24,61.2,35.1,11.3,4.68,23.8,3.43
PODKARPACKIE,2023,11.1,5.48,26.3,3.69,28.4,3.01,22.2,3.9,60.6,35.8,12.1,5.54,23.7,4.03
PODKARPACKIE,2024,11.5,4.52,25.9,3.14,28.3,2.87,22.2,3.73,60.2,35.5,12.1,5.23,23.4,3.24
PODKARPACKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PODLASKIE,2010,22,1.71,25.9,1.44,19.2,2.26,21.6,1.79,58.9,33.7,11.4,2.48,22.3,1.55
PODLASKIE,2011,20.7,3.34,25.5,2.34,20.7,3.22,22.3,2.74,58.5,32.3,10.7,3.59,21.6,2.63
PODLASKIE,2012,19.7,2.92,25.2,2.14,21.6,2.93,22.9,2.59,58.8,31.9,10.7,3.5,21.2,2.41
PODLASKIE,2013,19.3,2.8,26,2.07,22.8,2.88,21.2,2.45,58.1,33.2,10.9,3.59,22.3,2.33
PODLASKIE,2014,18.3,3.19,25.1,2.29,24.3,2.91,20.9,2.39,57.3,32.6,11.3,3.54,21.3,2.48
PODLASKIE,2015,17.9,3.4,24.7,2.15,24.4,3.08,21.8,2.64,57.8,32.1,11.3,3.65,20.8,2.4
PODLASKIE,2016,16.3,2.79,25.8,2.24,25.5,2.83,21.9,2.81,58.2,32,10.5,3.56,21.5,2.58
PODLASKIE,2017,15.7,2.99,25.8,2.44,26.7,2.68,21,3.05,57.6,32.7,10.8,4.04,21.9,2.7
PODLASKIE,2018,15.6,3.21,25.2,2.55,28.3,2.62,20.4,3.02,56.2,32.2,10.6,3.89,21.6,2.65
PODLASKIE,2019,15,2.91,25.9,2.7,29.1,2.57,20,3.41,55.7,32.1,9.8,4.04,22.3,2.9
PODLASKIE,2020,15,3.2,25.9,2.6,28,2.7,20.9,3.1,57,32.6,10.2,4.6,22.4,2.8
PODLASKIE,2021,14.7,3.6,25.4,2.49,28.8,2.48,19.8,2.81,56.5,33.5,11.3,4.15,22.2,2.74
PODLASKIE,2022,13.9,3.81,26.2,2.71,30.4,2.56,18.2,2.96,55.9,34.7,11.5,4.26,23.2,2.89
PODLASKIE,2023,14.5,4.14,24.7,2.95,31.5,2.87,17.3,3.47,54,34.2,12,4.45,22.2,3.22
PODLASKIE,2024,14.4,4.45,22.4,3.53,32.6,2.86,18.3,3.71,53,32.5,12.3,5.01,20.2,3.83
PODLASKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POLSKA,2010,18,0.56,24.6,0.41,19.4,0.52,26.8,0.37,62.6,32.6,11.2,0,21.4,0.47
POLSKA,2011,17.5,0.82,24.3,0.58,20.3,0.83,26.9,0.65,62.2,32.2,11,0.91,21.2,0.67
POLSKA,2012,16.7,0.6,24.2,0.58,21.5,0.81,26.7,0.65,61.8,31.9,10.9,0.92,21,0.67
POLSKA,2013,16.1,0.62,24.2,0.58,22.6,0.63,26.1,0.66,61.2,32.1,10.9,0.92,21.2,0.67
POLSKA,2014,15.5,0.65,23.8,0.59,23.8,0.73,26,0.54,60.7,31.6,10.9,0.92,20.7,0.68
POLSKA,2015,15.2,0.93,24.1,0.59,24.4,0.71,25.6,0.68,60.4,31.7,10.7,0.93,21,0.67
POLSKA,2016,14.6,0.68,24.5,0.71,25.2,0.69,25.3,0.68,60.2,31.9,10.4,0.96,21.5,0.66
POLSKA,2017,13.9,1.02,24.4,0.71,26.3,0.76,25,0.8,59.9,31.9,10.5,1.35,21.4,0.81
POLSKA,2018,13.5,1.05,24.3,0.82,27.2,0.82,24.5,0.91,59.3,32,10.5,1.35,21.5,0.81
POLSKA,2019,13.2,1.06,24,0.83,28.5,0.87,23.6,0.84,58.3,31.8,10.7,1.33,21.1,0.93
POLSKA,2020,12.9,1.1,24.3,0.9,29.2,0.9,23,1,57.9,32,10.6,1.4,21.4,0.9
